id,hora,buses
0,0.0,2.0
1,1.0,2.0
2,2.0,2.0
3,3.0,2.0
4,4.0,2.0
5,5.0,2.0
6,6.0,2.0
7,7.0,2.0
8,8.0,2.0
9,9.0,4.0
10,10.0,10.0
11,11.0,12.0
12,12.0,16.0
13,13.0,18.0
14,14.0,20.0
15,15.0,22.0
16,16.0,30.0
17,17.0,30.0
18,18.0,30.0
19,19.0,30.0
20,20.0,30.0
21,21.0,30.0
22,22.0,23.0
23,23.0,23.0
24,24.0,23.0
25,25.0,23.0
26,26.0,23.0
27,27.0,23.0
28,28.0,23.0
29,29.0,16.0
30,30.0,12.0
31,31.0,10.0
32,32.0,8.0
33,33.0,8.0
34,34.0,10.0
35,35.0,12.0
36,36.0,16.0
37,37.0,18.0
38,38.0,20.0
39,39.0,22.0
40,40.0,30.0
41,41.0,30.0
42,42.0,30.0
43,43.0,30.0
44,44.0,30.0
45,45.0,30.0
46,46.0,23.0
47,47.0,23.0
