agent_id,bus_id,has_bus,ts_bus_available,ts_bus_departed,ts_bus_joined,ts_bus_reached,ts_destination,ts_simulation,ts_source
0,0.00,True,1.59,41.80,6.59,121.80,126.80,125.21,1.59
1,0.00,True,6.60,41.80,11.60,121.80,131.80,126.88,4.92
2,0.00,True,11.70,41.80,16.70,121.80,136.80,130.20,6.60
3,0.00,True,16.80,41.80,21.80,121.80,141.80,130.86,10.94
4,0.00,True,21.80,41.80,26.80,121.80,146.80,134.49,12.31
5,0.00,True,26.80,41.80,31.80,121.80,151.80,138.57,13.23
6,0.00,True,31.80,41.80,36.80,121.80,156.80,139.50,17.30
7,0.00,True,36.80,41.80,41.80,121.80,161.80,140.16,21.64
8,1.00,True,66.70,107.50,71.70,187.50,192.50,153.91,38.59
9,1.00,True,71.80,107.50,76.80,187.50,197.50,146.23,51.27
10,1.00,True,76.90,107.50,81.90,187.50,202.50,144.86,57.64
11,1.00,True,82.00,107.50,87.00,187.50,207.50,147.22,60.28
12,1.00,True,87.10,107.50,92.10,187.50,212.50,149.98,62.52
13,1.00,True,92.20,107.50,97.20,187.50,217.50,149.13,68.37
14,1.00,True,97.30,107.50,102.30,187.50,222.50,152.27,70.23
15,1.00,True,102.40,107.50,107.40,187.50,227.50,155.08,72.42
16,2.00,True,133.40,174.20,138.40,254.20,259.20,163.78,95.42
17,2.00,True,138.50,174.20,143.50,254.20,264.20,155.19,109.01
18,2.00,True,143.60,174.20,148.60,254.20,269.20,155.93,113.27
19,2.00,True,148.70,174.20,153.70,254.20,274.20,158.40,115.80
20,2.00,True,153.80,174.20,158.80,254.20,279.20,151.03,128.17
21,2.00,True,158.90,174.20,163.90,254.20,284.20,151.46,132.74
22,2.00,True,164.00,174.20,169.00,254.20,289.20,151.75,137.45
23,2.00,True,169.10,174.20,174.10,254.20,294.20,149.99,144.21
24,3.00,True,200.10,240.90,205.10,320.90,325.90,179.83,146.07
25,3.00,True,205.20,240.90,210.20,320.90,330.90,179.49,151.41
26,3.00,True,210.30,240.90,215.30,320.90,335.90,173.63,162.27
27,3.00,True,215.40,240.90,220.40,320.90,340.90,175.54,165.36
28,3.00,True,220.50,240.90,225.50,320.90,345.90,180.30,165.60
29,3.00,True,225.60,240.90,230.60,320.90,350.90,181.01,169.89
30,3.00,True,230.70,240.90,235.70,320.90,355.90,185.40,170.50
31,3.00,True,235.80,240.90,240.80,320.90,360.90,172.41,188.49
32,4.00,True,266.70,306.70,271.70,386.70,391.70,193.06,198.64
33,4.00,True,271.70,306.70,276.70,386.70,396.70,191.28,205.42
34,4.00,True,276.70,306.70,281.70,386.70,401.70,191.39,210.31
35,4.00,True,281.70,306.70,286.70,386.70,406.70,194.81,211.89
36,4.00,True,286.70,306.70,291.70,386.70,411.70,199.10,212.60
37,4.00,True,291.70,306.70,296.70,386.70,416.70,201.67,215.03
38,4.00,True,296.70,306.70,301.70,386.70,421.70,202.80,218.90
39,4.00,True,301.70,306.70,306.70,386.70,426.70,201.67,225.03
40,5.00,True,333.40,373.40,338.40,453.40,458.40,231.50,226.90
41,5.00,True,338.40,373.40,343.40,453.40,463.40,226.58,236.82
42,5.00,True,343.40,373.40,348.40,453.40,468.40,224.28,244.12
43,5.00,True,348.40,373.40,353.40,453.40,473.40,221.67,251.73
44,5.00,True,353.40,373.40,358.40,453.40,478.40,225.23,253.17
45,5.00,True,358.40,373.40,363.40,453.40,483.40,229.74,253.66
46,5.00,True,363.40,373.40,368.40,453.40,488.40,209.05,279.35
47,5.00,True,368.40,373.40,373.40,453.40,493.40,211.18,282.22
48,6.00,True,400.00,440.00,405.00,520.00,525.00,230.41,294.59
49,6.00,True,405.00,440.00,410.00,520.00,530.00,227.76,302.24
50,6.00,True,410.00,440.00,415.00,520.00,535.00,227.36,307.64
51,6.00,True,415.00,440.00,420.00,520.00,540.00,229.72,310.28
52,6.00,True,420.00,440.00,425.00,520.00,545.00,232.09,312.91
53,6.00,True,425.00,440.00,430.00,520.00,550.00,236.40,313.60
54,6.00,True,430.00,440.00,435.00,520.00,555.00,240.05,314.95
55,6.00,True,435.00,440.00,440.00,520.00,560.00,241.59,318.41
56,7.00,True,466.70,506.70,471.70,586.70,591.70,271.36,320.34
57,7.00,True,471.70,506.70,476.70,586.70,596.70,270.56,326.14
58,7.00,True,476.70,506.70,481.70,586.70,601.70,275.17,326.53
59,7.00,True,481.70,506.70,486.70,586.70,606.70,277.10,329.60
60,7.00,True,486.70,506.70,491.70,586.70,611.70,276.98,334.72
61,7.00,True,491.70,506.70,496.70,586.70,616.70,275.46,341.24
62,7.00,True,496.70,506.70,501.70,586.70,621.70,273.47,348.23
63,7.00,True,501.70,506.70,506.70,586.70,626.70,269.80,356.90
64,8.00,True,533.40,573.40,538.40,653.40,658.40,299.89,358.51
65,8.00,True,538.40,573.40,543.40,653.40,663.40,300.94,362.46
66,8.00,True,543.40,573.40,548.40,653.40,668.40,302.35,366.05
67,8.00,True,548.40,573.40,553.40,653.40,673.40,305.02,368.38
68,8.00,True,553.40,573.40,558.40,653.40,678.40,309.66,368.74
69,8.00,True,558.40,573.40,563.40,653.40,683.40,305.68,377.72
70,8.00,True,563.40,573.40,568.40,653.40,688.40,309.35,379.05
71,8.00,True,568.40,573.40,573.40,653.40,693.40,310.83,382.57
72,9.00,True,600.00,640.00,605.00,720.00,725.00,340.03,384.97
73,9.00,True,605.00,640.00,610.00,720.00,730.00,339.86,390.14
74,9.00,True,610.00,640.00,615.00,720.00,735.00,330.00,405.00
75,9.00,True,615.00,640.00,620.00,720.00,740.00,328.57,411.43
76,9.00,True,620.00,640.00,625.00,720.00,745.00,322.88,422.12
77,9.00,True,625.00,640.00,630.00,720.00,750.00,326.17,423.83
78,9.00,True,630.00,640.00,635.00,720.00,755.00,328.51,426.49
79,9.00,True,635.00,640.00,640.00,720.00,760.00,332.03,427.97
80,,False,,,,,,,428.08
81,,False,,,,,,,446.39
82,,False,,,,,,,447.64
83,,False,,,,,,,449.37
84,,False,,,,,,,451.32
85,,False,,,,,,,453.43
86,,False,,,,,,,453.94
87,,False,,,,,,,466.24
88,,False,,,,,,,469.15
89,,False,,,,,,,478.00
90,,False,,,,,,,483.49
91,,False,,,,,,,486.77
92,,False,,,,,,,488.12
93,,False,,,,,,,497.51
94,,False,,,,,,,506.29
95,,False,,,,,,,515.15
96,,False,,,,,,,519.67
97,,False,,,,,,,525.65
98,,False,,,,,,,532.70
99,,False,,,,,,,547.51
