bus_id,bus_is_full,driver_out_patience,ts_departed,ts_destination,ts_reached,ts_source
0,True,False,22.40,67.40,57.40,12.00
1,True,False,32.40,77.50,67.40,13.04
2,False,True,42.20,87.50,77.20,15.14
3,False,True,46.80,92.50,81.80,19.75
4,False,True,48.60,94.50,83.60,21.57
5,True,False,59.40,104.50,94.40,38.21
6,True,False,70.00,115.10,105.00,50.54
7,False,True,77.80,123.10,112.80,50.79
8,False,True,80.20,125.10,115.20,53.18
9,False,True,86.70,131.10,121.70,59.66
10,False,True,92.10,136.10,127.10,65.03
11,False,True,93.50,128.50,128.50,66.47
12,True,False,105.20,150.30,140.20,87.81
13,True,False,116.20,161.30,151.20,92.80
14,False,True,121.40,166.30,156.40,94.33
15,False,True,128.80,173.30,163.80,101.71
16,False,True,131.70,176.30,166.70,104.69
17,False,True,134.40,178.30,169.40,107.33
18,False,True,143.70,187.80,178.70,116.61
19,False,True,153.30,196.40,188.30,126.27
20,False,True,157.70,200.40,192.70,130.60
21,False,True,158.00,193.00,193.00,130.96
22,False,True,159.10,194.10,194.10,132.01
23,False,True,159.40,194.40,194.40,132.36
24,False,True,159.60,194.60,194.60,132.53
25,False,True,163.70,206.40,198.70,136.61
26,False,True,168.10,210.40,203.10,141.01
27,False,True,175.40,216.50,210.40,148.34
28,True,False,186.60,231.70,221.60,160.93
29,True,False,197.60,242.70,232.60,185.17
30,True,False,208.60,253.70,243.60,185.96
31,False,True,213.30,258.70,248.30,186.25
32,False,True,220.20,264.70,255.20,193.15
33,False,True,222.70,266.70,257.70,195.64
34,False,True,226.50,270.60,261.50,199.45
35,False,True,226.80,261.80,261.80,199.77
36,False,True,227.80,262.80,262.80,200.75
37,False,True,229.80,273.60,264.80,202.80
38,True,False,241.60,286.60,276.60,216.23
39,True,False,252.60,297.60,287.60,226.95
40,False,True,256.50,301.60,291.50,229.43
41,False,True,261.70,306.60,296.70,234.67
42,False,True,264.20,309.60,299.20,237.18
43,False,True,266.50,311.60,301.50,239.49
44,False,True,268.90,314.60,303.90,241.81
45,False,True,273.00,318.60,308.00,245.90
46,False,True,275.10,320.60,310.10,248.07
47,False,True,281.50,326.60,316.50,254.41
48,False,True,290.70,335.60,325.70,263.63
49,False,True,291.50,326.50,326.50,264.48
50,False,True,294.00,339.60,329.00,266.93
51,True,False,304.90,349.90,339.90,279.71
52,False,True,310.60,355.90,345.60,283.58
53,False,True,310.70,345.70,345.70,283.69
54,False,True,313.80,358.90,348.80,286.77
55,False,True,314.00,349.00,349.00,286.91
56,False,True,315.30,350.30,350.30,288.29
57,False,True,316.30,351.30,351.30,289.21
58,False,True,316.90,351.90,351.90,289.90
59,False,True,325.40,370.90,360.40,298.31
60,False,True,331.60,376.90,366.60,304.53
61,False,True,332.60,367.60,367.60,305.51
62,False,True,334.00,379.90,369.00,306.94
63,False,True,338.30,383.90,373.30,311.25
64,False,True,340.50,385.90,375.50,313.47
65,False,True,341.10,376.10,376.10,314.02
66,False,True,343.70,388.90,378.70,316.61
67,False,True,352.50,397.90,387.50,325.40
68,False,True,354.40,399.90,389.40,327.31
69,False,True,355.30,390.30,390.30,328.23
70,False,True,358.00,403.90,393.00,330.96
71,False,True,359.30,394.30,394.30,332.29
72,False,True,364.80,409.90,399.80,337.72
73,False,True,367.60,412.90,402.60,340.52
74,False,True,374.80,419.90,409.80,347.76
75,False,True,382.60,427.90,417.60,355.52
76,True,False,393.70,438.70,428.70,383.64
77,True,False,403.70,448.70,438.70,385.07
78,True,True,413.70,458.70,448.70,386.68
79,False,True,414.90,460.70,449.90,387.89
80,False,True,418.70,464.70,453.70,391.67
81,False,True,424.70,470.70,459.70,397.68
82,False,True,435.10,480.70,470.10,408.06
83,False,True,438.20,483.70,473.20,411.17
84,False,True,440.00,485.70,475.00,412.95
85,False,True,445.90,491.70,480.90,418.86
86,False,True,447.20,482.20,482.20,420.16
87,False,True,450.50,495.70,485.50,423.42
88,False,True,450.80,485.80,485.80,423.75
89,False,True,452.90,498.70,487.90,425.82
90,True,False,463.70,508.70,498.70,438.06
91,False,True,470.80,516.70,505.80,443.78
92,False,True,472.70,518.70,507.70,445.66
93,False,True,473.90,508.90,508.90,446.85
94,False,True,480.40,525.70,515.40,453.37
95,False,True,482.00,527.70,517.00,454.95
96,False,True,482.40,517.40,517.40,455.34
97,False,True,486.70,532.70,521.70,459.62
